date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:57	15699/15699	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2009:32:25%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_stuff2	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserverfac3.html	(from https://www.w3schools.com/sql/func_sqlserver_stuff.asp)
11:32:58	15706/15706	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2009:05:42%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_substring	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserver0fb5.html	(from https://www.w3schools.com/sql/func_sqlserver_substring.asp)
11:32:58	15720/15720	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2008:03:30%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_substring2	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserver7bdf.html	(from https://www.w3schools.com/sql/func_sqlserver_substring.asp)
11:32:59	15650/15650	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2003:31:59%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_substring3	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserver0575.html	(from https://www.w3schools.com/sql/func_sqlserver_substring.asp)
11:32:59	15629/15629	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2006:03:57%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_upper	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserver0240.html	(from https://www.w3schools.com/sql/func_sqlserver_upper.asp)
11:33:00	15660/15660	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2009:58:16%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_upper2	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlservercc5c.html	(from https://www.w3schools.com/sql/func_sqlserver_upper.asp)
11:33:00	15621/15621	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2009:58:17%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_abs	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserver6add.html	(from https://www.w3schools.com/sql/func_sqlserver_abs.asp)
11:33:01	15640/15640	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2007:17:05%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_avg	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserver36ea.html	(from https://www.w3schools.com/sql/func_sqlserver_avg.asp)
11:33:02	15722/15722	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2009:56:18%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_avg2	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserver1be2.html	(from https://www.w3schools.com/sql/func_sqlserver_avg.asp)
11:33:02	15685/15685	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2009:25:59%20GMT	https://www.w3schools.com/sql/trysqlserver.asp?filename=trysql_func_sqlserver_ceiling	C:/Letoltott%20weblapok/c3/www.w3schools.com/sql/trysqlserverb917.html	(from https://www.w3schools.com/sql/func_sqlserver_ceiling.asp)
